year,doll/jpy
2009/08,94.9
2009/09,91.4
2009/10,90.28
2009/11,89.11
2009/12,89.52
2010/01,91.26
2010/02,90.28
2010/03,90.56
2010/04,93.43
2010/05,91.79
2010/06,90.89
2010/07,87.67
2010/08,85.44
2010/09,84.31
2010/10,81.8
2010/11,82.43
2010/12,83.38
2011/01,82.63
2011/02,82.52
2011/03,81.82
2011/04,83.34
2011/05,81.23
2011/06,80.49
2011/07,79.44
2011/08,77.09
2011/09,76.78
2011/10,76.72
2011/11,77.5
2011/12,77.81
2012/01,76.94
2012/02,78.47
2012/03,82.37
2012/04,81.42
2012/05,79.7
2012/06,79.27
2012/07,78.96
2012/08,78.68
2012/09,78.17
2012/10,78.97
2012/11,80.92
2012/12,83.6
2013/01,89.15
